Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,72314,DeepCNet,"2014-10-17 19:31:23",0.95530,18,btgraham
2,119844,jiki,"2014-10-15 02:19:18",0.94740,42,jiki103869
3,119163,"Anil Thomas","2014-10-18 15:38:50",0.94300,3,anlthms
4,121613,"Frank Sharp","2014-10-18 15:29:19",0.94190,13,fmsharp
5,74600,nagadomi,"2014-10-18 17:42:49",0.94150,16,nagadomi
6,118731,"Phil & Triskelion & Kazanova","2014-10-18 23:46:34",0.94120,107,"kazanova,philculliton,triskelion"
7,121788,"Daniel Nouri","2014-10-18 22:27:07",0.93540,4,dnouri
8,115138,Terry,"2014-10-10 19:24:23",0.93330,3,terrychenism
9,119713,"Luca Massaron","2014-10-18 18:24:05",0.93140,21,lucamassaron
10,93697,"Gil Levi","2014-10-18 16:25:15",0.93130,46,gillevi
11,80629,Raillou,"2014-04-16 14:45:45",0.92610,7,marions
12,119419,FXtest,"2014-10-06 20:06:50",0.92390,4,vadims
13,112003,:-),"2014-08-29 08:44:04",0.92080,18,confirm
14,118206,"John Judnich","2014-09-22 05:47:10",0.92030,1,johnjudnich
15,121383,"Wang-Chou Lu","2014-10-18 23:27:34",0.91830,2,wangchoulu
16,119819,lpigou,"2014-10-16 12:19:21",0.91810,2,lpigou
17,84216,"Dmitriy Anisimov","2014-04-17 09:18:53",0.90670,2,dmitriyanisimov
18,66546,fastml.com/dropconnect,"2013-12-22 15:08:58",0.90660,4,zygmunt
19,102566,Jonathan,"2014-10-08 03:29:12",0.90620,13,jonnob
20,65999,Yan,"2013-11-29 05:33:29",0.90530,13,zhengyan
21,70181,lucktroy,"2014-05-02 07:42:58",0.90380,8,lucktroy
22,100460,aslgestnizer,"2014-06-25 17:52:17",0.90140,25,visionnet
23,98688,hyungwon,"2014-10-18 10:11:26",0.89930,6,"hyungwonchoi,kucho175699,yunhun"
24,86987,Sam,"2014-04-12 09:15:28",0.89560,1,del=0f604952293e13b7
25,102280,"Round of 16","2014-06-22 13:59:05",0.89450,11,"chosinhee,darktuna,mimi3204619,shinwoongsung,yucheollim"
26,101049,"wenxin zhao","2014-06-17 23:54:06",0.89370,1,wenxinzhao
27,102329,K_team1,"2014-06-22 13:20:36",0.89210,12,kteam1209406
28,100950,"Sang-Jun Yea","2014-06-22 07:35:11",0.89010,24,sangjunyea
29,63297,"Kyle Kastner","2013-12-09 02:50:17",0.88910,8,kastnerkyle
30,67994,STNA,"2014-01-24 09:27:19",0.88860,19,"iamandreas,mhaulrich"
31,75796,tund,"2014-02-11 16:55:14",0.88790,3,tudinhnguyen
32,107070,Rafael,"2014-08-05 09:31:54",0.88230,7,potamitis
33,75303,JJS,"2014-02-16 07:56:41",0.87950,2,sueiras
34,70928,sdadas,"2014-01-07 05:09:51",0.87610,2,sdadas
35,65438,YangJJ,"2013-12-01 04:01:41",0.87590,6,yangjj
36,102406,DM-Team-11,"2014-06-22 14:47:59",0.87150,9,"dainjung,friedhelm,jihoyeo,jinkiahn1,seongchankim1,umair2"
37,80816,"Eren Gölge","2014-03-20 12:39:10",0.87090,9,erengolge
38,99057,"David Rubiano","2014-06-13 00:41:23",0.87090,18,davidrubiano
39,94900,Miranda,"2014-05-20 01:37:22",0.86470,15,"miranda196999,pberlin"
40,100813,Team1,"2014-07-25 05:50:24",0.86130,12,ssoonn129
41,114075,Seafood,"2014-09-07 05:48:38",0.85730,1,seafood314
42,62675,wqren,"2013-10-26 01:05:54",0.85720,4,weiqiangren
43,64554,"Madison May","2013-11-10 00:52:22",0.84380,1,madisonmay
44,71506,bug-fixer,"2014-01-14 06:10:15",0.83590,16,bugfixer
45,87309,bruteforce,"2014-05-29 05:00:56",0.83160,6,"fatihsamet,toktay"
46,87444,binghsu,"2014-04-15 07:21:54",0.82330,2,binghsu
47,121748,"Pedro Rodriguez","2014-10-18 17:21:13",0.82260,6,pedrorodriguez
48,103561,MiqVik,"2014-07-02 14:46:32",0.81220,1,"perellonieto,vikkamath"
49,72048,"Antoine Bureau","2014-03-04 23:52:15",0.81210,1,antoinebureau
50,115567,Mozaic,"2014-09-04 19:22:19",0.81210,4,cristiancanton
51,104324,EE_UGR,"2014-08-27 16:31:54",0.79550,10,eeugr158907
52,71366,"Konrad Banachewicz","2014-01-28 05:26:31",0.78560,9,konradb
53,89066,"Ali Osman&Davut","2014-05-30 11:47:49",0.77810,19,"alos171048,davutpolat"
54,64709,Maurits,"2013-11-11 22:13:43",0.77470,2,maurits
55,74790,KenHanKun,"2014-02-06 02:27:46",0.77380,8,"hansong0,kensk8er,kunkpang"
56,102658,KSE525-Team7,"2014-06-22 01:49:59",0.77380,1,yugangjae
57,74758,"Kun Zhang","2014-05-23 04:34:42",0.77200,11,kunzhang
58,86986,Epsilon,"2014-04-12 08:58:05",0.75620,1,epsilon172542
59,73799,McAdams,"2014-02-07 23:31:37",0.75410,50,"abhishekaggarwal2,cooters,steve55"
60,86276,"Senlie Zheng","2014-04-26 13:28:09",0.75260,22,senliezheng
61,66132,"Qiwei Feng","2013-11-25 01:37:06",0.74560,2,qiweifeng
62,117584,laserwolf,"2014-09-27 09:36:06",0.74500,2,vvarkey
63,106006,"Andrew Grinenko","2014-09-06 09:03:03",0.72670,5,agrin88
64,121819,kimill,"2014-10-17 12:56:59",0.71640,1,kimill
65,68941,cuttlefish,"2013-12-13 03:58:25",0.71350,2,cuttlefish
66,88294,12341234,"2014-10-12 17:03:57",0.70320,13,u1234x1234
67,79258,"wang xin","2014-03-02 08:16:35",0.69450,2,wangxin0
68,116482,"Marek Adamczyk","2014-09-27 11:16:24",0.68770,1,marekadamczyk
69,119364,MrLynx,"2014-10-08 08:16:41",0.68530,19,mrlynx
70,64353,"Rafael Rocha","2014-06-24 06:57:24",0.68280,4,rocharhs
71,102595,KSE525-TEAM5,"2014-06-21 14:20:30",0.66720,2,ssahn172088
72,81032,orbit,"2014-04-05 17:27:35",0.66370,2,"orhanbalci,uguru176256"
73,116134,mungators,"2014-10-11 01:34:19",0.65810,13,"daniandphy,saharm,soheilmn"
74,70615,"Bill Swift","2014-01-11 01:13:06",0.65360,4,billswift
75,73857,"Cory Binnersley","2014-04-08 03:00:09",0.65250,6,binnersley
76,66476,"Roman K","2013-11-24 18:25:05",0.64400,3,ggossamer
77,63956,XterNalz,"2013-11-26 10:06:04",0.63770,2,del=72e989fa2f3ac6a4
78,62899,"Martin Beyer","2013-11-10 07:15:29",0.63530,5,martinbeyer
79,74201,D*Y*A,"2014-02-04 01:14:04",0.62000,15,"dgonzalez,ialong,yohhalley"
80,80837,codebull,"2014-05-30 14:20:55",0.61900,9,"elifbozkaya,irensaltali"
81,67780,mccann0011,"2013-12-07 03:22:52",0.61160,1,mccann0011
82,100682,"Всеволод Ившин","2014-06-18 14:22:52",0.60870,1,user180972
83,81078,"Alexandra Vieru","2014-03-28 17:18:25",0.60860,7,alexandravieru
84,118132,"Ercüment İlhan","2014-09-23 09:42:35",0.60560,2,ercumentilhan
85,72387,mkfaml,"2014-02-09 04:17:57",0.59560,9,"karolp0,manjukiruthika,mkfaml14"
86,74035,JacChris,"2014-02-03 21:28:37",0.57820,16,"ggdasp,gya132371"
87,72330,"Picq, Everett, & Ortega","2014-02-05 13:35:16",0.57000,25,"everett1,holgerius,maudpicq"
88,100903,"Kirill Lunev","2014-09-10 05:34:54",0.56940,6,klunev
89,74734,disgon,"2014-10-18 22:20:05",0.56580,9,"vbardiovsky,vojtechbardiovsky"
90,69448,woobe,"2014-10-17 08:13:57",0.56370,9,jofaichow
91,67708,Arnaud,"2013-12-29 13:50:02",0.55990,1,arnaud3
92,70129,"Mohammad Ali Keyvanrad","2013-12-28 06:30:02",0.55890,3,keyvanrad
93,76103,primaryobjects,"2014-02-15 04:40:04",0.55270,3,primaryobjects
94,78727,KnightsOfNi,"2014-05-02 20:11:59",0.55250,12,"alex169440,ugurdemir"
95,96738,DM_Purret_Vunk,"2014-06-01 15:37:50",0.54860,8,"imrepurret,mihkelvunk"
96,90365,Angelus,"2014-05-04 21:19:50",0.54730,23,angelus1383
97,113110,dascho,"2014-08-20 18:21:30",0.54170,7,dascho
98,78166,ozcevik,"2014-03-18 13:32:05",0.53850,5,"mugeerel,yusufozcevik"
99,79739,Çam,"2014-05-31 21:57:37",0.53230,16,"emec171440,ryorganci"
100,68439,"佳彤 韩","2013-12-09 10:49:18",0.52790,2,user136798
101,102698,dmteam3,"2014-06-22 14:19:30",0.52560,1,dmteam3
102,100123,team3,"2014-06-22 14:56:27",0.52560,1,abcdefg
103,120190,DECODED,"2014-10-13 12:59:39",0.51850,5,luckylwk
104,100240,Classifiers,"2014-06-22 14:55:11",0.51810,13,mschae89
105,102614,"[Deleted] 1bcb4ee6-450e-41ee-bc3f-850a7ea6f9ca","2014-06-22 14:44:16",0.51460,13,del=004951a4e6678538
106,74657,xbits,"2014-02-01 22:28:26",0.50880,2,bakker
107,102995,Assulan,"2014-06-26 10:57:43",0.50250,4,assulan
108,68962,VIA.1314,"2013-12-12 13:06:49",0.50210,1,via1314
109,118915,earino,"2014-10-01 00:34:09",0.50100,4,earino
110,71883,"Basile Mayeur","2014-03-04 04:30:57",0.49670,3,baseberry
111,93929,sociopath,"2014-05-11 21:07:54",0.49670,6,sociopath
112,62517,"Jaco Cronje","2014-01-21 07:26:01",0.49190,3,jacocronje
113,99594,DMMMMMM,"2014-06-21 13:01:31",0.48900,13,kaistdmlab
114,115988,dst,"2014-09-10 12:23:49",0.48800,8,dstone
115,76195,sawbinned,"2014-03-20 04:49:25",0.48650,1,sabeink
116,68776,WhosYourDaddy,"2013-12-13 06:52:48",0.48080,3,tdlemonnh
